00:00 - Blood Pressure (mmHg): Systolic=127, Diastolic=94
07:03 - Blood Pressure (mmHg): Systolic=145, Diastolic=96
07:04 - Blood Pressure (mmHg): Systolic=130, Diastolic=95
07:05 - Blood Pressure (mmHg): Systolic=137, Diastolic=82
07:06 - Blood Pressure (mmHg): Systolic=158, Diastolic=100
07:07 - Blood Pressure (mmHg): Systolic=134, Diastolic=84
07:08 - Blood Pressure (mmHg): Systolic=122, Diastolic=92
07:09 - Blood Pressure (mmHg): Systolic=126, Diastolic=95
07:10 - Blood Pressure (mmHg): Systolic=156, Diastolic=82
07:11 - Blood Pressure (mmHg): Systolic=131, Diastolic=98
07:12 - Blood Pressure (mmHg): Systolic=138, Diastolic=86
07:13 - Blood Pressure (mmHg): Systolic=129, Diastolic=91
07:14 - Blood Pressure (mmHg): Systolic=124, Diastolic=86
07:15 - Blood Pressure (mmHg): Systolic=129, Diastolic=95
07:16 - Blood Pressure (mmHg): Systolic=126, Diastolic=93
07:17 - Blood Pressure (mmHg): Systolic=158, Diastolic=86
07:18 - Blood Pressure (mmHg): Systolic=136, Diastolic=85
07:19 - Blood Pressure (mmHg): Systolic=140, Diastolic=85
07:20 - Blood Pressure (mmHg): Systolic=155, Diastolic=93
07:21 - Blood Pressure (mmHg): Systolic=143, Diastolic=90
07:22 - Blood Pressure (mmHg): Systolic=132, Diastolic=80
07:23 - Blood Pressure (mmHg): Systolic=120, Diastolic=88
07:24 - Blood Pressure (mmHg): Systolic=124, Diastolic=94
07:25 - Blood Pressure (mmHg): Systolic=141, Diastolic=86
07:26 - Blood Pressure (mmHg): Systolic=132, Diastolic=91
07:27 - Blood Pressure (mmHg): Systolic=127, Diastolic=84
07:28 - Blood Pressure (mmHg): Systolic=133, Diastolic=83
07:29 - Blood Pressure (mmHg): Systolic=151, Diastolic=100
07:30 - Blood Pressure (mmHg): Systolic=134, Diastolic=84
07:31 - Blood Pressure (mmHg): Systolic=156, Diastolic=85
07:32 - Blood Pressure (mmHg): Systolic=153, Diastolic=100
07:33 - Blood Pressure (mmHg): Systolic=124, Diastolic=91
07:34 - Blood Pressure (mmHg): Systolic=151, Diastolic=93
07:35 - Blood Pressure (mmHg): Systolic=140, Diastolic=83
07:36 - Blood Pressure (mmHg): Systolic=131, Diastolic=97
07:37 - Blood Pressure (mmHg): Systolic=141, Diastolic=96
07:38 - Blood Pressure (mmHg): Systolic=142, Diastolic=97
07:39 - Blood Pressure (mmHg): Systolic=157, Diastolic=91
07:40 - Blood Pressure (mmHg): Systolic=131, Diastolic=83
07:41 - Blood Pressure (mmHg): Systolic=138, Diastolic=90
07:42 - Blood Pressure (mmHg): Systolic=139, Diastolic=96
07:43 - Blood Pressure (mmHg): Systolic=121, Diastolic=86
07:44 - Blood Pressure (mmHg): Systolic=154, Diastolic=98
07:45 - Blood Pressure (mmHg): Systolic=160, Diastolic=88
07:46 - Blood Pressure (mmHg): Systolic=151, Diastolic=89
07:47 - Blood Pressure (mmHg): Systolic=150, Diastolic=90
07:48 - Blood Pressure (mmHg): Systolic=152, Diastolic=81
07:49 - Blood Pressure (mmHg): Systolic=134, Diastolic=97
07:50 - Blood Pressure (mmHg): Systolic=124, Diastolic=80
07:51 - Blood Pressure (mmHg): Systolic=135, Diastolic=80
07:52 - Blood Pressure (mmHg): Systolic=133, Diastolic=97
07:53 - Blood Pressure (mmHg): Systolic=143, Diastolic=91
07:54 - Blood Pressure (mmHg): Systolic=145, Diastolic=94
07:55 - Blood Pressure (mmHg): Systolic=137, Diastolic=92
07:56 - Blood Pressure (mmHg): Systolic=124, Diastolic=96
07:57 - Blood Pressure (mmHg): Systolic=144, Diastolic=91
07:58 - Blood Pressure (mmHg): Systolic=155, Diastolic=91
07:59 - Blood Pressure (mmHg): Systolic=137, Diastolic=86
08:00 - Blood Pressure (mmHg): Systolic=126, Diastolic=82
08:01 - Blood Pressure (mmHg): Systolic=121, Diastolic=80
08:02 - Blood Pressure (mmHg): Systolic=157, Diastolic=100
08:03 - Blood Pressure (mmHg): Systolic=149, Diastolic=82
08:04 - Blood Pressure (mmHg): Systolic=153, Diastolic=91
08:05 - Blood Pressure (mmHg): Systolic=123, Diastolic=91
08:06 - Blood Pressure (mmHg): Systolic=136, Diastolic=84
08:07 - Blood Pressure (mmHg): Systolic=136, Diastolic=83
08:08 - Blood Pressure (mmHg): Systolic=144, Diastolic=84
08:09 - Blood Pressure (mmHg): Systolic=147, Diastolic=100
08:10 - Blood Pressure (mmHg): Systolic=124, Diastolic=90
08:11 - Blood Pressure (mmHg): Systolic=123, Diastolic=100
08:12 - Blood Pressure (mmHg): Systolic=144, Diastolic=80
08:13 - Blood Pressure (mmHg): Systolic=134, Diastolic=84
08:14 - Blood Pressure (mmHg): Systolic=131, Diastolic=93
08:15 - Blood Pressure (mmHg): Systolic=160, Diastolic=83
08:16 - Blood Pressure (mmHg): Systolic=149, Diastolic=100
08:17 - Blood Pressure (mmHg): Systolic=124, Diastolic=86
08:18 - Blood Pressure (mmHg): Systolic=124, Diastolic=89
08:19 - Blood Pressure (mmHg): Systolic=136, Diastolic=99
08:20 - Blood Pressure (mmHg): Systolic=141, Diastolic=83
08:21 - Blood Pressure (mmHg): Systolic=140, Diastolic=86
08:22 - Blood Pressure (mmHg): Systolic=149, Diastolic=98
08:23 - Blood Pressure (mmHg): Systolic=147, Diastolic=100
08:24 - Blood Pressure (mmHg): Systolic=160, Diastolic=82
08:25 - Blood Pressure (mmHg): Systolic=144, Diastolic=91
08:26 - Blood Pressure (mmHg): Systolic=141, Diastolic=87
08:27 - Blood Pressure (mmHg): Systolic=155, Diastolic=86
08:28 - Blood Pressure (mmHg): Systolic=125, Diastolic=91
08:29 - Blood Pressure (mmHg): Systolic=152, Diastolic=87
08:30 - Blood Pressure (mmHg): Systolic=132, Diastolic=100
08:31 - Blood Pressure (mmHg): Systolic=154, Diastolic=96
08:32 - Blood Pressure (mmHg): Systolic=150, Diastolic=89
08:33 - Blood Pressure (mmHg): Systolic=143, Diastolic=81
08:34 - Blood Pressure (mmHg): Systolic=142, Diastolic=87
08:35 - Blood Pressure (mmHg): Systolic=125, Diastolic=93
08:36 - Blood Pressure (mmHg): Systolic=142, Diastolic=90
08:37 - Blood Pressure (mmHg): Systolic=160, Diastolic=90
08:38 - Blood Pressure (mmHg): Systolic=138, Diastolic=99
08:39 - Blood Pressure (mmHg): Systolic=138, Diastolic=91
08:40 - Blood Pressure (mmHg): Systolic=150, Diastolic=91
08:41 - Blood Pressure (mmHg): Systolic=123, Diastolic=88
08:42 - Blood Pressure (mmHg): Systolic=128, Diastolic=85
08:43 - Blood Pressure (mmHg): Systolic=129, Diastolic=97
08:44 - Blood Pressure (mmHg): Systolic=140, Diastolic=97
08:45 - Blood Pressure (mmHg): Systolic=138, Diastolic=82
08:46 - Blood Pressure (mmHg): Systolic=144, Diastolic=83
08:47 - Blood Pressure (mmHg): Systolic=153, Diastolic=93
08:48 - Blood Pressure (mmHg): Systolic=147, Diastolic=95
08:49 - Blood Pressure (mmHg): Systolic=149, Diastolic=98
08:50 - Blood Pressure (mmHg): Systolic=152, Diastolic=88
08:51 - Blood Pressure (mmHg): Systolic=160, Diastolic=89
08:52 - Blood Pressure (mmHg): Systolic=131, Diastolic=86
08:53 - Blood Pressure (mmHg): Systolic=150, Diastolic=94
08:54 - Blood Pressure (mmHg): Systolic=152, Diastolic=99
08:55 - Blood Pressure (mmHg): Systolic=151, Diastolic=92
08:56 - Blood Pressure (mmHg): Systolic=142, Diastolic=85
08:57 - Blood Pressure (mmHg): Systolic=153, Diastolic=99
08:58 - Blood Pressure (mmHg): Systolic=137, Diastolic=94
08:59 - Blood Pressure (mmHg): Systolic=127, Diastolic=99
09:00 - Blood Pressure (mmHg): Systolic=134, Diastolic=90
09:01 - Blood Pressure (mmHg): Systolic=132, Diastolic=98
09:02 - Blood Pressure (mmHg): Systolic=147, Diastolic=87
09:03 - Blood Pressure (mmHg): Systolic=124, Diastolic=91
09:04 - Blood Pressure (mmHg): Systolic=132, Diastolic=97
09:05 - Blood Pressure (mmHg): Systolic=157, Diastolic=90
09:06 - Blood Pressure (mmHg): Systolic=132, Diastolic=91
09:07 - Blood Pressure (mmHg): Systolic=142, Diastolic=82
09:08 - Blood Pressure (mmHg): Systolic=156, Diastolic=87
09:09 - Blood Pressure (mmHg): Systolic=142, Diastolic=97
09:10 - Blood Pressure (mmHg): Systolic=139, Diastolic=84
09:11 - Blood Pressure (mmHg): Systolic=153, Diastolic=84
09:12 - Blood Pressure (mmHg): Systolic=131, Diastolic=95
09:13 - Blood Pressure (mmHg): Systolic=128, Diastolic=94
09:14 - Blood Pressure (mmHg): Systolic=153, Diastolic=98
09:15 - Blood Pressure (mmHg): Systolic=159, Diastolic=90
09:16 - Blood Pressure (mmHg): Systolic=124, Diastolic=89
09:17 - Blood Pressure (mmHg): Systolic=127, Diastolic=84
09:18 - Blood Pressure (mmHg): Systolic=148, Diastolic=84
09:19 - Blood Pressure (mmHg): Systolic=144, Diastolic=86
09:20 - Blood Pressure (mmHg): Systolic=146, Diastolic=90
09:21 - Blood Pressure (mmHg): Systolic=137, Diastolic=80
09:22 - Blood Pressure (mmHg): Systolic=134, Diastolic=95
09:23 - Blood Pressure (mmHg): Systolic=128, Diastolic=95
09:24 - Blood Pressure (mmHg): Systolic=154, Diastolic=80
09:25 - Blood Pressure (mmHg): Systolic=143, Diastolic=96
09:26 - Blood Pressure (mmHg): Systolic=146, Diastolic=92
09:27 - Blood Pressure (mmHg): Systolic=140, Diastolic=95
09:28 - Blood Pressure (mmHg): Systolic=135, Diastolic=82
09:29 - Blood Pressure (mmHg): Systolic=142, Diastolic=83
09:30 - Blood Pressure (mmHg): Systolic=153, Diastolic=99
09:31 - Blood Pressure (mmHg): Systolic=150, Diastolic=82
09:32 - Blood Pressure (mmHg): Systolic=146, Diastolic=95
09:33 - Blood Pressure (mmHg): Systolic=124, Diastolic=90
09:34 - Blood Pressure (mmHg): Systolic=160, Diastolic=81
09:35 - Blood Pressure (mmHg): Systolic=135, Diastolic=100
09:36 - Blood Pressure (mmHg): Systolic=128, Diastolic=96
09:37 - Blood Pressure (mmHg): Systolic=147, Diastolic=97
09:38 - Blood Pressure (mmHg): Systolic=125, Diastolic=92
09:39 - Blood Pressure (mmHg): Systolic=141, Diastolic=96
09:40 - Blood Pressure (mmHg): Systolic=152, Diastolic=96
09:41 - Blood Pressure (mmHg): Systolic=159, Diastolic=97
09:42 - Blood Pressure (mmHg): Systolic=123, Diastolic=85
09:43 - Blood Pressure (mmHg): Systolic=131, Diastolic=89
09:44 - Blood Pressure (mmHg): Systolic=120, Diastolic=89
09:45 - Blood Pressure (mmHg): Systolic=140, Diastolic=81
09:46 - Blood Pressure (mmHg): Systolic=151, Diastolic=97
09:47 - Blood Pressure (mmHg): Systolic=124, Diastolic=92
09:48 - Blood Pressure (mmHg): Systolic=127, Diastolic=98
09:49 - Blood Pressure (mmHg): Systolic=136, Diastolic=81
09:50 - Blood Pressure (mmHg): Systolic=127, Diastolic=83
09:51 - Blood Pressure (mmHg): Systolic=143, Diastolic=89
09:52 - Blood Pressure (mmHg): Systolic=126, Diastolic=85
09:53 - Blood Pressure (mmHg): Systolic=123, Diastolic=80
09:54 - Blood Pressure (mmHg): Systolic=132, Diastolic=82
09:55 - Blood Pressure (mmHg): Systolic=133, Diastolic=94
09:56 - Blood Pressure (mmHg): Systolic=138, Diastolic=94
09:57 - Blood Pressure (mmHg): Systolic=145, Diastolic=97
09:58 - Blood Pressure (mmHg): Systolic=144, Diastolic=90
09:59 - Blood Pressure (mmHg): Systolic=129, Diastolic=98
10:00 - Blood Pressure (mmHg): Systolic=136, Diastolic=81
10:01 - Blood Pressure (mmHg): Systolic=153, Diastolic=90
10:02 - Blood Pressure (mmHg): Systolic=159, Diastolic=94
10:03 - Blood Pressure (mmHg): Systolic=123, Diastolic=90
10:04 - Blood Pressure (mmHg): Systolic=151, Diastolic=81
10:05 - Blood Pressure (mmHg): Systolic=142, Diastolic=89
10:06 - Blood Pressure (mmHg): Systolic=160, Diastolic=80
10:07 - Blood Pressure (mmHg): Systolic=160, Diastolic=81
10:08 - Blood Pressure (mmHg): Systolic=140, Diastolic=91
10:09 - Blood Pressure (mmHg): Systolic=126, Diastolic=91
10:10 - Blood Pressure (mmHg): Systolic=147, Diastolic=94
10:11 - Blood Pressure (mmHg): Systolic=135, Diastolic=98
10:12 - Blood Pressure (mmHg): Systolic=130, Diastolic=98
10:13 - Blood Pressure (mmHg): Systolic=155, Diastolic=80
10:14 - Blood Pressure (mmHg): Systolic=134, Diastolic=97
10:15 - Blood Pressure (mmHg): Systolic=146, Diastolic=98
10:16 - Blood Pressure (mmHg): Systolic=149, Diastolic=98
10:17 - Blood Pressure (mmHg): Systolic=126, Diastolic=86
10:18 - Blood Pressure (mmHg): Systolic=160, Diastolic=97
10:19 - Blood Pressure (mmHg): Systolic=144, Diastolic=93
10:20 - Blood Pressure (mmHg): Systolic=131, Diastolic=99
10:21 - Blood Pressure (mmHg): Systolic=131, Diastolic=90
10:22 - Blood Pressure (mmHg): Systolic=150, Diastolic=89
10:23 - Blood Pressure (mmHg): Systolic=142, Diastolic=90
10:24 - Blood Pressure (mmHg): Systolic=132, Diastolic=81
10:25 - Blood Pressure (mmHg): Systolic=143, Diastolic=81
10:26 - Blood Pressure (mmHg): Systolic=129, Diastolic=82
10:27 - Blood Pressure (mmHg): Systolic=139, Diastolic=98
10:28 - Blood Pressure (mmHg): Systolic=156, Diastolic=87
10:29 - Blood Pressure (mmHg): Systolic=157, Diastolic=99
10:30 - Blood Pressure (mmHg): Systolic=126, Diastolic=97
10:31 - Blood Pressure (mmHg): Systolic=122, Diastolic=86
10:32 - Blood Pressure (mmHg): Systolic=160, Diastolic=90
10:33 - Blood Pressure (mmHg): Systolic=155, Diastolic=97
10:34 - Blood Pressure (mmHg): Systolic=156, Diastolic=83
10:35 - Blood Pressure (mmHg): Systolic=148, Diastolic=93
10:36 - Blood Pressure (mmHg): Systolic=153, Diastolic=87
10:37 - Blood Pressure (mmHg): Systolic=121, Diastolic=85
10:38 - Blood Pressure (mmHg): Systolic=132, Diastolic=88
10:39 - Blood Pressure (mmHg): Systolic=147, Diastolic=82
10:40 - Blood Pressure (mmHg): Systolic=154, Diastolic=95
10:41 - Blood Pressure (mmHg): Systolic=128, Diastolic=84
10:42 - Blood Pressure (mmHg): Systolic=121, Diastolic=85
10:43 - Blood Pressure (mmHg): Systolic=120, Diastolic=85
10:44 - Blood Pressure (mmHg): Systolic=137, Diastolic=91
10:45 - Blood Pressure (mmHg): Systolic=156, Diastolic=99
10:46 - Blood Pressure (mmHg): Systolic=151, Diastolic=95
10:47 - Blood Pressure (mmHg): Systolic=129, Diastolic=99
10:48 - Blood Pressure (mmHg): Systolic=137, Diastolic=84
10:49 - Blood Pressure (mmHg): Systolic=121, Diastolic=96
10:50 - Blood Pressure (mmHg): Systolic=123, Diastolic=81
10:51 - Blood Pressure (mmHg): Systolic=147, Diastolic=91
10:52 - Blood Pressure (mmHg): Systolic=140, Diastolic=87
10:53 - Blood Pressure (mmHg): Systolic=127, Diastolic=97
10:54 - Blood Pressure (mmHg): Systolic=128, Diastolic=97
10:55 - Blood Pressure (mmHg): Systolic=145, Diastolic=83
10:56 - Blood Pressure (mmHg): Systolic=158, Diastolic=98
10:57 - Blood Pressure (mmHg): Systolic=129, Diastolic=100
10:58 - Blood Pressure (mmHg): Systolic=129, Diastolic=86
10:59 - Blood Pressure (mmHg): Systolic=149, Diastolic=99
11:00 - Blood Pressure (mmHg): Systolic=156, Diastolic=86
11:01 - Blood Pressure (mmHg): Systolic=140, Diastolic=90
11:02 - Blood Pressure (mmHg): Systolic=131, Diastolic=97
11:03 - Blood Pressure (mmHg): Systolic=149, Diastolic=97
11:04 - Blood Pressure (mmHg): Systolic=130, Diastolic=95
11:05 - Blood Pressure (mmHg): Systolic=131, Diastolic=80
11:06 - Blood Pressure (mmHg): Systolic=122, Diastolic=81
11:07 - Blood Pressure (mmHg): Systolic=141, Diastolic=95
11:08 - Blood Pressure (mmHg): Systolic=138, Diastolic=100
11:09 - Blood Pressure (mmHg): Systolic=126, Diastolic=94
11:10 - Blood Pressure (mmHg): Systolic=129, Diastolic=80
11:11 - Blood Pressure (mmHg): Systolic=151, Diastolic=93
11:12 - Blood Pressure (mmHg): Systolic=160, Diastolic=85
11:13 - Blood Pressure (mmHg): Systolic=122, Diastolic=92
11:14 - Blood Pressure (mmHg): Systolic=137, Diastolic=96
11:15 - Blood Pressure (mmHg): Systolic=146, Diastolic=83
11:16 - Blood Pressure (mmHg): Systolic=150, Diastolic=83
11:17 - Blood Pressure (mmHg): Systolic=160, Diastolic=80
11:18 - Blood Pressure (mmHg): Systolic=125, Diastolic=93
11:19 - Blood Pressure (mmHg): Systolic=150, Diastolic=100
11:20 - Blood Pressure (mmHg): Systolic=125, Diastolic=98
11:21 - Blood Pressure (mmHg): Systolic=159, Diastolic=89
11:22 - Blood Pressure (mmHg): Systolic=142, Diastolic=85
11:23 - Blood Pressure (mmHg): Systolic=139, Diastolic=96
11:24 - Blood Pressure (mmHg): Systolic=151, Diastolic=98
11:25 - Blood Pressure (mmHg): Systolic=126, Diastolic=93
11:26 - Blood Pressure (mmHg): Systolic=129, Diastolic=80
11:27 - Blood Pressure (mmHg): Systolic=127, Diastolic=89
11:28 - Blood Pressure (mmHg): Systolic=129, Diastolic=89
11:29 - Blood Pressure (mmHg): Systolic=152, Diastolic=98
11:30 - Blood Pressure (mmHg): Systolic=155, Diastolic=98
11:31 - Blood Pressure (mmHg): Systolic=160, Diastolic=85
11:32 - Blood Pressure (mmHg): Systolic=130, Diastolic=89
11:33 - Blood Pressure (mmHg): Systolic=146, Diastolic=94
11:34 - Blood Pressure (mmHg): Systolic=127, Diastolic=81
11:35 - Blood Pressure (mmHg): Systolic=138, Diastolic=92
11:36 - Blood Pressure (mmHg): Systolic=151, Diastolic=81
11:37 - Blood Pressure (mmHg): Systolic=136, Diastolic=93
11:38 - Blood Pressure (mmHg): Systolic=122, Diastolic=82
11:39 - Blood Pressure (mmHg): Systolic=142, Diastolic=93
11:40 - Blood Pressure (mmHg): Systolic=121, Diastolic=87
11:41 - Blood Pressure (mmHg): Systolic=122, Diastolic=98
11:42 - Blood Pressure (mmHg): Systolic=130, Diastolic=80
11:43 - Blood Pressure (mmHg): Systolic=160, Diastolic=89
11:44 - Blood Pressure (mmHg): Systolic=125, Diastolic=91
11:45 - Blood Pressure (mmHg): Systolic=151, Diastolic=89
11:46 - Blood Pressure (mmHg): Systolic=156, Diastolic=91
11:47 - Blood Pressure (mmHg): Systolic=142, Diastolic=80
11:48 - Blood Pressure (mmHg): Systolic=135, Diastolic=99
11:49 - Blood Pressure (mmHg): Systolic=127, Diastolic=80
11:50 - Blood Pressure (mmHg): Systolic=149, Diastolic=90
11:51 - Blood Pressure (mmHg): Systolic=145, Diastolic=86
11:52 - Blood Pressure (mmHg): Systolic=129, Diastolic=88
11:53 - Blood Pressure (mmHg): Systolic=155, Diastolic=89
11:54 - Blood Pressure (mmHg): Systolic=159, Diastolic=83
11:55 - Blood Pressure (mmHg): Systolic=158, Diastolic=89
11:56 - Blood Pressure (mmHg): Systolic=151, Diastolic=98
11:57 - Blood Pressure (mmHg): Systolic=124, Diastolic=94
11:58 - Blood Pressure (mmHg): Systolic=143, Diastolic=83
11:59 - Blood Pressure (mmHg): Systolic=122, Diastolic=93
12:00 - Blood Pressure (mmHg): Systolic=123, Diastolic=84
12:01 - Blood Pressure (mmHg): Systolic=128, Diastolic=99
12:02 - Blood Pressure (mmHg): Systolic=122, Diastolic=93
12:03 - Blood Pressure (mmHg): Systolic=134, Diastolic=85
12:04 - Blood Pressure (mmHg): Systolic=122, Diastolic=94
12:05 - Blood Pressure (mmHg): Systolic=155, Diastolic=96
12:06 - Blood Pressure (mmHg): Systolic=152, Diastolic=98
12:07 - Blood Pressure (mmHg): Systolic=147, Diastolic=80
12:08 - Blood Pressure (mmHg): Systolic=156, Diastolic=90
12:09 - Blood Pressure (mmHg): Systolic=145, Diastolic=83
12:10 - Blood Pressure (mmHg): Systolic=121, Diastolic=93
12:11 - Blood Pressure (mmHg): Systolic=152, Diastolic=85
12:12 - Blood Pressure (mmHg): Systolic=141, Diastolic=100
12:13 - Blood Pressure (mmHg): Systolic=155, Diastolic=100
12:14 - Blood Pressure (mmHg): Systolic=146, Diastolic=91
12:15 - Blood Pressure (mmHg): Systolic=138, Diastolic=86
12:16 - Blood Pressure (mmHg): Systolic=159, Diastolic=97
12:17 - Blood Pressure (mmHg): Systolic=142, Diastolic=100
12:18 - Blood Pressure (mmHg): Systolic=140, Diastolic=93
12:19 - Blood Pressure (mmHg): Systolic=122, Diastolic=88
12:20 - Blood Pressure (mmHg): Systolic=146, Diastolic=85
12:21 - Blood Pressure (mmHg): Systolic=138, Diastolic=98
12:22 - Blood Pressure (mmHg): Systolic=146, Diastolic=84
12:23 - Blood Pressure (mmHg): Systolic=144, Diastolic=81
12:24 - Blood Pressure (mmHg): Systolic=124, Diastolic=91
12:25 - Blood Pressure (mmHg): Systolic=143, Diastolic=92
12:26 - Blood Pressure (mmHg): Systolic=135, Diastolic=96
12:27 - Blood Pressure (mmHg): Systolic=124, Diastolic=82
12:28 - Blood Pressure (mmHg): Systolic=138, Diastolic=89
12:29 - Blood Pressure (mmHg): Systolic=133, Diastolic=99
12:30 - Blood Pressure (mmHg): Systolic=139, Diastolic=92
12:31 - Blood Pressure (mmHg): Systolic=125, Diastolic=89
12:32 - Blood Pressure (mmHg): Systolic=157, Diastolic=86
12:33 - Blood Pressure (mmHg): Systolic=124, Diastolic=87
12:34 - Blood Pressure (mmHg): Systolic=130, Diastolic=89
12:35 - Blood Pressure (mmHg): Systolic=121, Diastolic=88
12:36 - Blood Pressure (mmHg): Systolic=133, Diastolic=80
12:37 - Blood Pressure (mmHg): Systolic=157, Diastolic=85
12:38 - Blood Pressure (mmHg): Systolic=125, Diastolic=95
12:39 - Blood Pressure (mmHg): Systolic=155, Diastolic=92
12:40 - Blood Pressure (mmHg): Systolic=132, Diastolic=87
12:41 - Blood Pressure (mmHg): Systolic=134, Diastolic=91
12:42 - Blood Pressure (mmHg): Systolic=124, Diastolic=83
12:43 - Blood Pressure (mmHg): Systolic=120, Diastolic=84
12:44 - Blood Pressure (mmHg): Systolic=124, Diastolic=100
12:45 - Blood Pressure (mmHg): Systolic=126, Diastolic=90
12:46 - Blood Pressure (mmHg): Systolic=137, Diastolic=89
12:47 - Blood Pressure (mmHg): Systolic=151, Diastolic=96
12:48 - Blood Pressure (mmHg): Systolic=140, Diastolic=89
12:49 - Blood Pressure (mmHg): Systolic=141, Diastolic=85
12:50 - Blood Pressure (mmHg): Systolic=157, Diastolic=92
12:51 - Blood Pressure (mmHg): Systolic=129, Diastolic=85
12:52 - Blood Pressure (mmHg): Systolic=144, Diastolic=80
12:53 - Blood Pressure (mmHg): Systolic=139, Diastolic=97
12:54 - Blood Pressure (mmHg): Systolic=160, Diastolic=92
12:55 - Blood Pressure (mmHg): Systolic=127, Diastolic=87
12:56 - Blood Pressure (mmHg): Systolic=131, Diastolic=95
12:57 - Blood Pressure (mmHg): Systolic=131, Diastolic=81
12:58 - Blood Pressure (mmHg): Systolic=152, Diastolic=80
12:59 - Blood Pressure (mmHg): Systolic=128, Diastolic=86
13:00 - Blood Pressure (mmHg): Systolic=143, Diastolic=80
13:01 - Blood Pressure (mmHg): Systolic=131, Diastolic=94
13:02 - Blood Pressure (mmHg): Systolic=135, Diastolic=95
13:03 - Blood Pressure (mmHg): Systolic=159, Diastolic=83
13:04 - Blood Pressure (mmHg): Systolic=134, Diastolic=100
13:05 - Blood Pressure (mmHg): Systolic=120, Diastolic=92
13:06 - Blood Pressure (mmHg): Systolic=136, Diastolic=87
13:07 - Blood Pressure (mmHg): Systolic=130, Diastolic=87
13:08 - Blood Pressure (mmHg): Systolic=120, Diastolic=88
13:09 - Blood Pressure (mmHg): Systolic=147, Diastolic=85
13:10 - Blood Pressure (mmHg): Systolic=159, Diastolic=99
13:11 - Blood Pressure (mmHg): Systolic=156, Diastolic=97
13:12 - Blood Pressure (mmHg): Systolic=122, Diastolic=89
13:13 - Blood Pressure (mmHg): Systolic=142, Diastolic=84
13:14 - Blood Pressure (mmHg): Systolic=129, Diastolic=92
13:15 - Blood Pressure (mmHg): Systolic=120, Diastolic=89
13:16 - Blood Pressure (mmHg): Systolic=129, Diastolic=91
13:17 - Blood Pressure (mmHg): Systolic=140, Diastolic=89
13:18 - Blood Pressure (mmHg): Systolic=143, Diastolic=84
13:19 - Blood Pressure (mmHg): Systolic=159, Diastolic=89
13:20 - Blood Pressure (mmHg): Systolic=142, Diastolic=91
13:21 - Blood Pressure (mmHg): Systolic=134, Diastolic=96
13:22 - Blood Pressure (mmHg): Systolic=126, Diastolic=96
13:23 - Blood Pressure (mmHg): Systolic=148, Diastolic=82
13:24 - Blood Pressure (mmHg): Systolic=149, Diastolic=100
13:25 - Blood Pressure (mmHg): Systolic=122, Diastolic=98
13:26 - Blood Pressure (mmHg): Systolic=121, Diastolic=83
13:27 - Blood Pressure (mmHg): Systolic=156, Diastolic=99
13:28 - Blood Pressure (mmHg): Systolic=143, Diastolic=100
13:29 - Blood Pressure (mmHg): Systolic=153, Diastolic=88
13:30 - Blood Pressure (mmHg): Systolic=132, Diastolic=82
13:31 - Blood Pressure (mmHg): Systolic=147, Diastolic=90
13:32 - Blood Pressure (mmHg): Systolic=155, Diastolic=95
13:33 - Blood Pressure (mmHg): Systolic=148, Diastolic=94
13:34 - Blood Pressure (mmHg): Systolic=158, Diastolic=83
13:35 - Blood Pressure (mmHg): Systolic=152, Diastolic=98
13:36 - Blood Pressure (mmHg): Systolic=156, Diastolic=87
13:37 - Blood Pressure (mmHg): Systolic=133, Diastolic=95
13:38 - Blood Pressure (mmHg): Systolic=143, Diastolic=97
13:39 - Blood Pressure (mmHg): Systolic=159, Diastolic=80
13:40 - Blood Pressure (mmHg): Systolic=130, Diastolic=96
13:41 - Blood Pressure (mmHg): Systolic=157, Diastolic=88
13:42 - Blood Pressure (mmHg): Systolic=154, Diastolic=89
13:43 - Blood Pressure (mmHg): Systolic=156, Diastolic=81
13:44 - Blood Pressure (mmHg): Systolic=150, Diastolic=95
13:45 - Blood Pressure (mmHg): Systolic=159, Diastolic=81
13:46 - Blood Pressure (mmHg): Systolic=123, Diastolic=92
13:47 - Blood Pressure (mmHg): Systolic=153, Diastolic=88
13:48 - Blood Pressure (mmHg): Systolic=135, Diastolic=83
13:49 - Blood Pressure (mmHg): Systolic=133, Diastolic=100
13:50 - Blood Pressure (mmHg): Systolic=156, Diastolic=86
13:51 - Blood Pressure (mmHg): Systolic=136, Diastolic=100
13:52 - Blood Pressure (mmHg): Systolic=124, Diastolic=98
13:53 - Blood Pressure (mmHg): Systolic=121, Diastolic=100
13:54 - Blood Pressure (mmHg): Systolic=147, Diastolic=92
13:55 - Blood Pressure (mmHg): Systolic=154, Diastolic=90
13:56 - Blood Pressure (mmHg): Systolic=160, Diastolic=92
13:57 - Blood Pressure (mmHg): Systolic=153, Diastolic=90
13:58 - Blood Pressure (mmHg): Systolic=147, Diastolic=98
13:59 - Blood Pressure (mmHg): Systolic=141, Diastolic=82
14:00 - Blood Pressure (mmHg): Systolic=134, Diastolic=90
14:01 - Blood Pressure (mmHg): Systolic=139, Diastolic=84
14:02 - Blood Pressure (mmHg): Systolic=155, Diastolic=85
14:03 - Blood Pressure (mmHg): Systolic=129, Diastolic=82
14:04 - Blood Pressure (mmHg): Systolic=140, Diastolic=87
14:05 - Blood Pressure (mmHg): Systolic=160, Diastolic=93
